name	taxonomy_id	taxonomy_lvl	kraken_assigned_reads	added_reads	new_est_reads	fraction_total_reads
Streptococcus thermophilus	1308	S	35	118	153	0.00020
Streptococcus parasanguinis	1318	S	17	175	192	0.00026
Streptococcus salivarius	1304	S	12	214	226	0.00030
Streptococcus sanguinis	1305	S	12	53	65	0.00009
Lacticaseibacillus rhamnosus	47715	S	91	23	114	0.00015
Lacticaseibacillus paracasei	1597	S	30	13	43	0.00006
Lactobacillus delbrueckii	1584	S	14	4	18	0.00002
Faecalibacillus intestinalis	1982626	S	4717	3168	7885	0.01052
Catenibacterium sp. co_0103	2478954	S	10	4	14	0.00002
Turicibacter sanguinis	154288	S	140	32	172	0.00023
Turicibacter bilis	2735723	S	20	84	104	0.00014
Holdemania massiliensis	1468449	S	86	33	119	0.00016
Allocoprobacillus halotolerans	2944914	S	41	15	56	0.00007
Bifidobacterium longum	216816	S	2302	5683	7985	0.01065
Bifidobacterium adolescentis	1680	S	36	118	154	0.00021
Propionibacterium freudenreichii	1744	S	80	41	121	0.00016
Actinomyces naeslundii	1655	S	17	29	46	0.00006
Schaalia odontolytica	1660	S	10	10	20	0.00003
Corynebacterium durum	61592	S	10	3	13	0.00002
Collinsella aerofaciens	74426	S	1734	3086	4820	0.00643
Collinsella sp. i05-0019-G5	3132705	S	171	1011	1182	0.00158
Adlercreutzia hattorii	2707299	S	636	1082	1718	0.00229
Adlercreutzia equolifaciens	446660	S	216	116	332	0.00044
Gordonibacter pamelaeae	471189	S	113	138	251	0.00033
Gordonibacter urolithinfaciens	1335613	S	80	88	168	0.00022
Eggerthella lenta	84112	S	69	39	108	0.00014
Eggerthella sp. YY7918	502558	S	14	3	17	0.00002
Methanobrevibacter smithii	2173	S	751	954	1705	0.00227
Junduvirus communis	2956034	S	280	97	377	0.00050
Kingevirus communis	2956060	S	84	0	84	0.00011
Canhaevirus hiberniae	2955579	S	21	5	26	0.00003
Jahgtovirus gastrointestinalis	2955995	S	14	15	29	0.00004
Brigitvirus brigit	2734096	S	489	16	505	0.00067
Taranisvirus taranis	2734146	S	14	147	161	0.00021
